meeting_id,has_true_leader,selected_speaker,selected_speaker_true_role,proba_manager,is_correct_leader
hr_focus_010,True,spk_2,manager,0.99810934,True
scrum_015,True,spk_1,manager,0.98255986,True
scrum_018,True,spk_1,manager,0.99560094,True
scrum_021,True,spk_1,manager,0.9869948,True
scrum_022,True,spk_1,manager,0.9997404,True
scrum_024,True,spk_1,manager,0.9995591,True
scrum_029,True,spk_1,manager,0.9384565,True
scrum_037,True,spk_1,manager,0.92550266,True
scrum_060,True,spk_1,manager,0.45981625,True
scrum_062,True,spk_1,manager,0.9982169,True
scrum_077,False,spk_1,other,0.0005042961,False
scrum_078,False,spk_1,other,0.61546576,False
scrum_089,True,spk_3,manager,0.4138145,True
scrum_104,False,spk_4,other,0.07175127,False
scrum_105,True,spk_3,other,0.10708966,False
scrum_107,True,spk_2,manager,0.0063002706,True
scrum_161,True,spk_4,other,0.93783784,False
scrum_162,True,spk_1,manager,0.9929246,True
scrum_181,True,spk_4,other,0.6448069,False
scrum_185,True,spk_1,manager,0.21477507,True
scrum_197,False,spk_2,other,0.052408617,False
scrum_199,False,spk_1,other,0.17918506,False
scrum_206,True,spk_4,other,0.6179398,False
scrum_208,True,spk_3,manager,0.45954776,True
scrum_211,True,spk_1,hr,0.9710084,False
scrum_217,True,spk_3,manager,0.9924333,True
scrum_219,True,spk_4,other,0.8863797,False
scrum_226,True,spk_3,manager,0.73910725,True
scrum_227,True,spk_2,junior,0.5411348,False
scrum_229,True,spk_3,manager,0.43843567,True
scrum_231,True,spk_2,junior,0.9588495,False
scrum_236,True,spk_4,other,0.2566694,False
scrum_237,True,spk_3,manager,0.98459864,True
scrum_245,True,spk_2,junior,0.75698286,False
scrum_276,True,spk_3,manager,0.90837735,True
scrum_277,True,spk_4,manager,0.9887623,True
scrum_278,True,spk_2,junior,0.20971201,False
scrum_285,True,spk_1,manager,0.9636001,True
scrum_288,True,spk_1,hr,0.7260248,False
scrum_299,True,spk_1,manager,0.3866343,True
scrum_304,True,spk_2,junior,0.96471536,False
scrum_306,True,spk_4,other,0.20448929,False
scrum_901,True,spk_2,manager,0.9774669,True
scrum_905,True,spk_1,manager,0.9029617,True
scrum_907,True,spk_2,other,0.09916382,False
