meeting_id,hr,junior,leader,other,num_roles,multiple_leaders,no_leader
hr_focus_001,1,1,1,1,4,False,False
hr_focus_002,1,1,1,1,4,False,False
hr_focus_003,1,1,1,1,4,False,False
hr_focus_004,1,1,1,1,4,False,False
hr_focus_005,1,1,1,1,4,False,False
hr_focus_006,1,1,1,1,4,False,False
hr_focus_007,1,1,1,1,4,False,False
hr_focus_008,1,1,1,1,4,False,False
hr_focus_009,1,1,1,1,4,False,False
hr_focus_010,1,1,1,1,4,False,False
hr_focus_011,1,1,1,1,4,False,False
scrum_001,0,1,1,2,3,False,False
scrum_002,0,1,1,2,3,False,False
scrum_003,0,1,1,2,3,False,False
scrum_004,0,1,1,2,3,False,False
scrum_005,0,1,1,2,3,False,False
scrum_006,0,1,1,2,3,False,False
scrum_007,0,1,1,2,3,False,False
scrum_008,0,1,1,2,3,False,False
scrum_009,0,1,1,2,3,False,False
scrum_010,0,1,1,2,3,False,False
scrum_011,0,1,1,2,3,False,False
scrum_012,0,1,1,2,3,False,False
scrum_013,0,1,1,2,3,False,False
scrum_014,0,1,1,2,3,False,False
scrum_015,0,1,1,2,3,False,False
scrum_016,0,1,1,2,3,False,False
scrum_017,0,1,1,2,3,False,False
scrum_018,0,1,1,2,3,False,False
scrum_019,0,1,1,2,3,False,False
scrum_020,0,1,1,2,3,False,False
scrum_021,0,1,1,2,3,False,False
scrum_022,0,1,1,2,3,False,False
scrum_023,0,1,1,2,3,False,False
scrum_024,0,1,1,2,3,False,False
scrum_025,0,1,1,2,3,False,False
scrum_026,0,1,1,2,3,False,False
scrum_027,0,1,1,2,3,False,False
scrum_028,0,1,1,2,3,False,False
scrum_029,0,1,1,2,3,False,False
scrum_030,0,1,1,2,3,False,False
scrum_031,0,1,1,2,3,False,False
scrum_032,0,1,1,2,3,False,False
scrum_033,0,1,1,2,3,False,False
scrum_034,0,1,1,2,3,False,False
scrum_035,0,1,1,2,3,False,False
scrum_036,0,1,1,2,3,False,False
scrum_037,0,1,1,2,3,False,False
scrum_038,0,1,1,2,3,False,False
scrum_039,0,1,1,2,3,False,False
scrum_040,0,1,1,2,3,False,False
scrum_041,0,1,1,2,3,False,False
scrum_042,0,1,1,2,3,False,False
scrum_043,0,1,1,2,3,False,False
scrum_044,0,1,1,2,3,False,False
scrum_045,0,1,1,2,3,False,False
scrum_046,0,1,1,2,3,False,False
scrum_047,0,1,1,2,3,False,False
scrum_048,0,1,1,2,3,False,False
scrum_049,0,1,1,2,3,False,False
scrum_050,0,1,1,2,3,False,False
scrum_051,0,1,1,2,3,False,False
scrum_052,0,1,1,2,3,False,False
scrum_053,0,1,1,2,3,False,False
scrum_054,0,1,1,2,3,False,False
scrum_055,0,1,1,2,3,False,False
scrum_056,0,1,1,2,3,False,False
scrum_057,0,1,1,2,3,False,False
scrum_058,0,1,1,2,3,False,False
scrum_059,0,1,1,2,3,False,False
scrum_060,0,1,1,2,3,False,False
scrum_061,0,0,0,3,1,False,True
scrum_062,0,1,1,1,3,False,False
scrum_063,0,0,0,2,1,False,True
scrum_064,0,1,1,2,3,False,False
scrum_065,0,1,0,3,2,False,True
scrum_066,0,0,0,2,1,False,True
scrum_067,0,1,1,3,3,False,False
scrum_068,0,0,0,2,1,False,True
scrum_069,0,1,1,1,3,False,False
scrum_070,0,0,0,3,1,False,True
scrum_071,0,1,0,2,2,False,True
scrum_072,0,1,1,1,3,False,False
scrum_073,0,0,0,2,1,False,True
scrum_074,0,1,0,3,2,False,True
scrum_075,0,0,0,2,1,False,True
scrum_076,0,1,1,2,3,False,False
scrum_077,0,0,0,2,1,False,True
scrum_078,0,1,0,3,2,False,True
scrum_079,0,0,0,2,1,False,True
scrum_080,0,1,1,3,3,False,False
scrum_081,0,0,0,3,1,False,True
scrum_082,0,0,1,2,2,False,False
scrum_083,0,1,0,2,2,False,True
scrum_084,0,0,0,2,1,False,True
scrum_085,0,1,1,1,3,False,False
scrum_086,0,0,0,3,1,False,True
scrum_087,0,0,1,2,2,False,False
scrum_088,0,1,0,2,2,False,True
scrum_089,0,0,1,2,2,False,False
scrum_090,0,0,0,2,1,False,True
scrum_091,0,1,0,2,2,False,True
scrum_092,0,0,1,2,2,False,False
scrum_093,0,0,1,2,2,False,False
scrum_094,0,0,0,3,1,False,True
scrum_095,0,1,1,1,3,False,False
scrum_096,0,0,0,2,1,False,True
scrum_097,0,0,1,2,2,False,False
scrum_098,0,1,0,2,2,False,True
scrum_099,0,0,1,2,2,False,False
scrum_100,0,0,0,3,1,False,True
scrum_101,0,0,0,3,1,False,True
scrum_102,0,1,1,3,3,False,False
scrum_103,0,0,0,2,1,False,True
scrum_104,0,1,0,3,2,False,True
scrum_105,0,0,1,2,2,False,False
scrum_106,0,1,0,3,2,False,True
scrum_107,0,0,1,2,2,False,False
scrum_108,0,1,0,2,2,False,True
scrum_109,0,0,1,3,2,False,False
scrum_110,0,1,0,3,2,False,True
scrum_111,2,1,1,0,3,False,False
scrum_112,2,1,1,0,3,False,False
scrum_113,0,1,1,1,3,False,False
scrum_158,0,1,1,2,3,False,False
scrum_159,0,1,1,2,3,False,False
scrum_160,0,1,1,2,3,False,False
scrum_161,1,1,1,1,4,False,False
scrum_162,0,1,1,2,3,False,False
scrum_163,0,1,0,3,2,False,True
scrum_164,0,1,1,2,3,False,False
scrum_165,0,1,0,3,2,False,True
scrum_166,0,1,1,2,3,False,False
scrum_167,0,1,1,2,3,False,False
scrum_168,0,1,0,3,2,False,True
scrum_169,0,1,1,2,3,False,False
scrum_170,0,1,1,2,3,False,False
scrum_171,0,1,0,3,2,False,True
scrum_172,0,1,1,2,3,False,False
scrum_173,0,1,0,3,2,False,True
scrum_174,0,1,1,2,3,False,False
scrum_175,0,1,1,2,3,False,False
scrum_176,0,1,0,3,2,False,True
scrum_177,0,1,1,2,3,False,False
scrum_178,0,1,0,3,2,False,True
scrum_179,0,1,1,2,3,False,False
scrum_180,0,1,0,3,2,False,True
scrum_181,0,1,1,2,3,False,False
scrum_182,0,1,0,3,2,False,True
scrum_183,0,1,1,2,3,False,False
scrum_184,0,1,0,3,2,False,True
scrum_185,0,1,1,2,3,False,False
scrum_186,0,1,0,3,2,False,True
scrum_187,0,1,1,2,3,False,False
scrum_188,0,1,0,3,2,False,True
scrum_189,0,1,1,2,3,False,False
scrum_190,0,1,1,2,3,False,False
scrum_191,0,1,0,3,2,False,True
scrum_192,0,1,1,2,3,False,False
scrum_193,0,1,0,3,2,False,True
scrum_194,0,1,1,2,3,False,False
scrum_195,0,1,0,3,2,False,True
scrum_196,0,1,1,2,3,False,False
scrum_197,0,1,0,3,2,False,True
scrum_198,0,1,1,2,3,False,False
scrum_199,0,1,0,3,2,False,True
scrum_200,0,1,1,2,3,False,False
scrum_201,1,1,1,1,4,False,False
scrum_202,1,1,1,1,4,False,False
scrum_203,1,1,1,1,4,False,False
scrum_204,1,1,1,1,4,False,False
scrum_205,1,1,1,1,4,False,False
scrum_206,1,1,1,1,4,False,False
scrum_207,1,1,1,1,4,False,False
scrum_208,1,1,1,1,4,False,False
scrum_209,1,1,1,1,4,False,False
scrum_210,1,1,1,1,4,False,False
scrum_211,1,1,1,1,4,False,False
scrum_212,1,1,1,1,4,False,False
scrum_213,1,1,1,1,4,False,False
scrum_214,1,1,1,1,4,False,False
scrum_215,1,1,1,1,4,False,False
scrum_216,1,1,1,1,4,False,False
scrum_217,1,1,1,1,4,False,False
scrum_218,1,1,1,1,4,False,False
scrum_219,1,1,1,1,4,False,False
scrum_220,1,1,1,1,4,False,False
scrum_221,1,1,1,1,4,False,False
scrum_222,1,1,1,1,4,False,False
scrum_223,1,1,1,1,4,False,False
scrum_224,1,1,1,1,4,False,False
scrum_225,1,1,1,1,4,False,False
scrum_226,1,1,1,1,4,False,False
scrum_227,1,1,1,1,4,False,False
scrum_228,1,1,1,1,4,False,False
scrum_229,1,1,1,1,4,False,False
scrum_230,1,1,1,1,4,False,False
scrum_231,1,1,1,1,4,False,False
scrum_232,1,1,1,1,4,False,False
scrum_233,1,1,1,1,4,False,False
scrum_234,1,1,1,1,4,False,False
scrum_235,1,1,1,1,4,False,False
scrum_236,1,1,1,1,4,False,False
scrum_237,1,1,1,1,4,False,False
scrum_238,1,1,1,1,4,False,False
scrum_239,1,1,1,1,4,False,False
scrum_240,1,1,1,1,4,False,False
scrum_241,1,1,1,1,4,False,False
scrum_242,1,1,1,1,4,False,False
scrum_243,1,1,1,1,4,False,False
scrum_244,1,1,1,1,4,False,False
scrum_245,1,1,1,1,4,False,False
scrum_246,1,1,1,1,4,False,False
scrum_247,1,1,1,1,4,False,False
scrum_248,1,1,1,1,4,False,False
scrum_249,1,1,1,1,4,False,False
scrum_250,1,1,1,1,4,False,False
scrum_251,1,1,1,1,4,False,False
scrum_252,1,1,1,1,4,False,False
scrum_253,0,1,2,1,3,True,False
scrum_254,1,1,1,1,4,False,False
scrum_255,0,1,1,2,3,False,False
scrum_256,1,1,1,1,4,False,False
scrum_257,0,1,2,1,3,True,False
scrum_258,1,1,1,1,4,False,False
scrum_259,0,1,2,1,3,True,False
scrum_260,1,1,1,1,4,False,False
scrum_261,0,1,2,1,3,True,False
scrum_262,1,1,1,1,4,False,False
scrum_263,0,1,2,1,3,True,False
scrum_264,1,1,1,1,4,False,False
scrum_265,0,1,2,1,3,True,False
scrum_266,1,1,1,1,4,False,False
scrum_267,1,1,1,1,4,False,False
scrum_268,1,1,1,1,4,False,False
scrum_269,0,1,2,1,3,True,False
scrum_270,1,1,1,1,4,False,False
scrum_271,0,1,2,1,3,True,False
scrum_272,1,1,1,1,4,False,False
scrum_273,0,1,2,1,3,True,False
scrum_274,1,1,1,1,4,False,False
scrum_275,0,1,2,1,3,True,False
scrum_276,1,1,1,1,4,False,False
scrum_277,0,1,2,1,3,True,False
scrum_278,1,1,1,1,4,False,False
scrum_279,0,1,2,1,3,True,False
scrum_280,1,1,1,1,4,False,False
scrum_281,0,1,2,1,3,True,False
scrum_282,1,1,1,1,4,False,False
scrum_283,0,1,2,1,3,True,False
scrum_284,1,1,1,1,4,False,False
scrum_285,0,1,2,1,3,True,False
scrum_286,1,1,1,1,4,False,False
scrum_287,0,1,2,1,3,True,False
scrum_288,1,1,1,1,4,False,False
scrum_289,0,1,2,1,3,True,False
scrum_290,1,1,1,1,4,False,False
scrum_291,0,1,2,1,3,True,False
scrum_292,1,1,1,1,4,False,False
scrum_293,0,1,2,1,3,True,False
scrum_294,1,1,1,1,4,False,False
scrum_295,0,1,2,1,3,True,False
scrum_296,1,1,1,1,4,False,False
scrum_297,0,1,2,1,3,True,False
scrum_298,1,1,1,1,4,False,False
scrum_299,0,1,2,1,3,True,False
scrum_300,1,1,1,1,4,False,False
scrum_301,0,1,2,1,3,True,False
scrum_302,1,1,1,1,4,False,False
scrum_303,0,1,2,1,3,True,False
scrum_304,1,1,1,1,4,False,False
scrum_305,0,1,2,1,3,True,False
scrum_306,1,1,1,1,4,False,False
scrum_307,0,1,2,1,3,True,False
scrum_308,1,1,1,1,4,False,False
scrum_309,0,1,2,1,3,True,False
scrum_310,1,1,1,1,4,False,False
scrum_901,1,1,1,1,4,False,False
scrum_902,1,2,1,2,4,False,False
scrum_903,1,1,1,1,4,False,False
scrum_904,1,1,1,1,4,False,False
scrum_905,1,2,2,1,4,True,False
scrum_906,1,1,1,1,4,False,False
scrum_907,1,1,1,1,4,False,False
scrum_908,1,1,1,1,4,False,False
scrum_909,1,1,1,1,4,False,False
